Year,NATURE,SOURCE_DETAIL,SDG Series,Composite breakdown,Unit of measure,Nature of data points,Source details,COMMENT_OBS,Observation-level footnotes,Value
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,Obs_Value = 0;  Represent 1996 proxy,Obs_Value = 0;  Represent 1996 proxy,0.0
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,3.18
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,3.23
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,3.28
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,3.59
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,4.64
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area loss (%) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Obs_Value = 0;  Represent 1996 proxy,5.73
2000,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,Represent 1996 proxy,Represent 1996 proxy,1300.17
2007,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1284.47
2008,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1285.18
2009,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1285.2
2010,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1284.03
2015,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1265.0
2016,E,Global Surface Water Explorer extraction for UN Environment Programme,Mangrove area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,Represent 1996 proxy,1247.84
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Wetlands area (square kilometres) [6.6.1],,Square kilometers,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,2919.9
2017,E,Global Surface Water Explorer extraction for UN Environment Programme,Wetlands area (% of total land area) [6.6.1],,Percent,Estimated,Global Surface Water Explorer extraction for UN Environment Programme,,,1.49
